date,yhat,sentiment_score,event,impact
2015-11-05,76.20058239259129,0.0,No Event,None
2015-11-06,79.02957632685194,0.0,No Event,None
2015-11-07,71.74528618740433,0.0,No Event,None
2015-11-08,59.16625348162276,0.0,No Event,None
2015-11-09,79.95027103964436,0.0,No Event,None
2015-11-10,56.9010378458362,0.0,No Event,None
2015-11-11,64.31590817321886,0.0,No Event,None
2015-11-12,73.33883171581788,0.0,No Event,None
2015-11-13,77.45846065475337,0.0,No Event,None
2015-11-14,71.36135140600896,0.0,No Event,None
2015-11-15,59.8361421596205,0.0,No Event,None
2015-11-16,81.51434101773822,0.0,No Event,None
2015-11-17,59.177705085995726,0.0,No Event,None
2015-11-18,67.10659897651047,0.0,No Event,None
2015-11-19,76.43341203193279,0.0,No Event,None
2015-11-20,80.64099641351929,0.0,No Event,None
2015-11-21,74.4160440061321,0.0,No Event,None
2015-11-22,62.553277734050624,0.0,No Event,None
2015-11-23,83.69609103338173,0.0,No Event,None
2015-11-24,60.64361926695062,0.0,No Event,None
2015-11-25,67.69863938680619,0.0,No Event,None
2015-11-26,76.02038920739608,0.0,No Event,None
2015-11-27,79.12228437324633,0.0,No Event,None
2015-11-28,71.72447036314841,0.0,No Event,None
2015-11-29,58.657107439955965,0.0,No Event,None
2015-11-30,78.6000469103035,0.0,No Event,None
2015-12-01,54.38890872013791,0.0,No Event,None
2015-12-02,60.36198390642456,0.0,No Event,None
2015-12-03,67.71208045694387,0.0,No Event,None
2015-12-04,69.98331748741377,0.0,No Event,None
2015-12-05,61.9228303791412,0.0,No Event,None
2015-12-06,48.38330811298603,0.0,No Event,None
2015-12-07,68.06204178103117,0.0,No Event,None
2015-12-08,43.80651166591693,0.0,No Event,None
2015-12-09,49.960949948424776,0.0,No Event,None
2015-12-10,57.718007187087295,0.0,No Event,None
2015-12-11,60.61553244064268,0.0,No Event,None
2015-12-12,53.3884302875427,0.0,No Event,None
2015-12-13,40.87151196406436,0.0,No Event,None
2015-12-14,61.739011171785926,0.0,No Event,None
2015-12-15,38.81077930381106,0.0,No Event,None
2015-12-16,46.399580663147546,0.0,No Event,None
2015-12-17,55.66359593208495,0.0,No Event,None
2015-12-18,60.10412103740746,0.0,No Event,None
2015-12-19,54.41839972047767,0.0,No Event,None
2015-12-20,43.40348056728272,0.0,No Event,None
2015-12-21,65.69674178221973,0.0,No Event,None
2015-12-22,44.08307114800485,0.0,No Event,None
2015-12-23,52.843095139821926,0.0,No Event,None
2015-12-24,63.106540285983925,0.0,No Event,None
2015-12-25,68.35069087232237,0.0,No Event,None
2015-12-26,63.25383390844563,0.0,No Event,None
2015-12-27,52.59970060328537,0.0,No Event,None
2015-12-28,75.01826341281992,0.0,No Event,None
2015-12-29,53.29313794908676,0.0,No Event,None
2015-12-30,61.70984343411332,0.0,No Event,None
2015-12-31,71.40903155472465,0.0,No Event,None
2016-01-01,75.8846519280145,0.0,No Event,None
2016-01-02,69.83698062209065,0.0,No Event,None
2016-01-03,58.07639798466422,0.0,No Event,None
2016-01-04,79.26356202271855,0.0,No Event,None
2016-01-05,56.21597508044333,0.0,No Event,None
2016-01-06,63.25535512473108,0.0,No Event,None
2016-01-07,71.55991859672476,0.0,No Event,None
2016-01-08,74.66156863904509,0.0,No Event,None
2016-01-09,67.29794142661373,0.0,No Event,None
2016-01-10,54.315223098772805,0.0,No Event,None
2016-01-11,74.40740902487207,0.0,No Event,None
2016-01-12,50.42202718448298,0.0,No Event,None
2016-01-13,56.70675891151751,0.0,No Event,None
2016-01-14,64.46108321256168,0.0,No Event,None
2016-01-15,67.23295453031461,0.0,No Event,None
2016-01-16,59.7704791357862,0.0,No Event,None
2016-01-17,46.924511184385935,0.0,No Event,None
2016-01-18,67.3878445869098,0.0,No Event,None
2016-01-19,44.001022696964334,0.0,No Event,None
2016-01-20,51.09919511103445,0.0,No Event,None
2016-01-21,59.86397225717025,0.0,No Event,None
2016-01-22,63.821113741286325,0.0,No Event,None
2016-01-23,57.69232484449818,0.0,No Event,None
2016-01-24,46.29873979243808,0.0,No Event,None
2016-01-25,68.30090962419214,0.0,No Event,None
2016-01-26,46.50546191556738,0.0,No Event,None
2016-01-27,55.21283815130687,0.0,No Event,None
2016-01-28,65.5702029670176,0.0,No Event,None
2016-01-29,71.06949952661107,0.0,No Event,None
2016-01-30,66.40057802647216,0.0,No Event,None
2016-01-31,56.35527866152182,0.0,No Event,None
2016-02-01,79.56810510760248,0.0,No Event,None
2016-02-02,58.823471143828925,0.0,No Event,None
2016-02-03,68.40391212566348,0.0,No Event,None
2016-02-04,79.44334477487791,0.0,No Event,None
2016-02-05,85.42534238443467,0.0,No Event,None
2016-02-06,81.03634899308018,0.0,No Event,None
2016-02-07,71.06971420173755,0.0,No Event,None
2016-02-08,94.16618873538393,0.0,No Event,None
2016-02-09,73.12087095415924,0.0,No Event,None
2016-02-10,82.23100687753224,0.0,No Event,None
2016-02-11,92.64874094874376,0.0,No Event,None
2016-02-12,97.87880087310924,0.0,No Event,None
2016-02-13,92.6310582924232,0.0,No Event,None
2016-02-14,81.72386659937223,0.0,No Event,None
2016-02-15,103.8230156415946,0.0,No Event,None
2016-02-16,81.75041834807304,0.0,No Event,None
2016-02-17,89.82874396452719,0.0,No Event,None
2016-02-18,99.23432278056872,0.0,No Event,None
2016-02-19,103.49421951144988,0.0,No Event,None
2016-02-20,97.33825390130043,0.0,No Event,None
2016-02-21,85.60188343844115,0.0,No Event,None
2016-02-22,106.96561959765089,0.0,No Event,None
2016-02-23,84.26099636143452,0.0,No Event,None
2016-02-24,91.81751858905136,0.0,No Event,None
2016-02-25,100.8147082765732,0.0,No Event,None
2016-02-26,104.7792481388954,0.0,No Event,None
2016-02-27,98.43717528137029,0.0,No Event,None
2016-02-28,86.61703195781664,0.0,No Event,None
2016-02-29,107.98963429863082,0.0,No Event,None
2016-03-01,85.37446495887593,0.0,No Event,None
2016-03-02,93.08710260399836,0.0,No Event,None
2016-03-03,102.29179024406449,0.0,No Event,None
2016-03-04,106.49912494364816,0.0,No Event,None
2016-03-05,100.4188044176512,0.0,No Event,None
2016-03-06,88.86332042860495,0.0,No Event,None
2016-03-07,110.48824347260783,0.0,No Event,None
2016-03-08,88.09908947760711,0.0,No Event,None
2016-03-09,95.99916781345296,0.0,No Event,None
2016-03-10,105.34250100335166,0.0,No Event,None
2016-03-11,109.63099921992668,0.0,No Event,None
2016-03-12,103.56976899305307,0.0,No Event,None
2016-03-13,91.9685406779583,0.0,No Event,None
2016-03-14,113.48275926859536,0.0,No Event,None
2016-03-15,90.92038016335188,0.0,No Event,None
2016-03-16,98.58956355747084,0.0,No Event,None
2016-03-17,107.6513646088556,0.0,No Event,None
2016-03-18,111.61740161485017,0.0,No Event,None
2016-03-19,105.20244192762804,0.0,No Event,None
2016-03-20,93.2278040284956,0.0,No Event,None
2016-03-21,114.36123271140896,0.0,No Event,None
2016-03-22,91.42325405200395,0.0,No Event,None
2016-03-23,98.7344283546617,0.0,No Event,None
2016-03-24,107.4676126519931,0.0,No Event,None
2016-03-25,111.14522875212585,0.0,No Event,None
2016-03-26,104.49148921670805,0.0,No Event,None
2016-03-27,92.3354908644748,0.0,No Event,None
2016-03-28,113.35084209664832,0.0,No Event,None
2016-03-29,90.36183797801932,0.0,No Event,None
2016-03-30,97.69060621655302,0.0,No Event,None
2016-03-31,106.50933813702382,0.0,No Event,None
2016-04-01,110.3376006791783,0.0,No Event,None
2016-04-02,103.8946793799684,0.0,No Event,None
2016-04-03,92.0028571551912,0.0,No Event,None
2016-04-04,113.3272882247358,0.0,No Event,None
2016-04-05,90.68247222518708,0.0,No Event,None
2016-04-06,98.36866863544164,0.0,No Event,None
2016-04-07,107.55771635091604,0.0,No Event,None
2016-04-08,111.7575167104327,0.0,No Event,None
2016-04-09,105.67584185914902,0.0,No Event,None
2016-04-10,94.12399756373402,0.0,No Event,None
2016-04-11,115.75705954905624,0.0,No Event,None
2016-04-12,93.38067642463989,0.0,No Event,None
2016-04-13,101.29884104030812,0.0,No Event,None
2016-04-14,110.666723318416,0.0,No Event,None
2016-04-15,114.98854048414928,0.0,No Event,None
2016-04-16,108.97039614040992,0.0,No Event,None
2016-04-17,97.42397666963537,0.0,No Event,None
2016-04-18,119.0067506826802,0.0,No Event,None
2016-04-19,96.52866607513096,0.0,No Event,None
2016-04-20,104.2997503008226,0.0,No Event,None
2016-04-21,113.48271283279875,0.0,No Event,None
2016-04-22,117.59053361057045,0.0,No Event,None
2016-04-23,111.33897848966096,0.0,No Event,None
2016-04-24,99.54994112805775,0.0,No Event,None
2016-04-25,120.891269003648,0.0,No Event,None
2016-04-26,98.18308072762582,0.0,No Event,None
2016-04-27,105.74499309423396,0.0,No Event,None
2016-04-28,114.74836946859428,0.0,No Event,None
2016-04-29,118.71358533931812,0.0,No Event,None
2016-04-30,112.36226307875258,0.0,No Event,None
2016-05-01,100.49959314713776,0.0,No Event,None
2016-05-02,121.81636677284207,0.0,No Event,None
2016-05-03,99.13281463593036,0.0,No Event,None
2016-05-04,106.76659259808304,0.0,No Event,None
2016-05-05,115.88506836992784,0.0,No Event,None
2016-05-06,120.00269610614797,0.0,No Event,None
2016-05-07,113.8334279444861,0.0,No Event,None
2016-05-08,102.19406632257032,0.0,No Event,None
2016-05-09,123.7442154155488,0.0,No Event,None
2016-05-10,101.29283570889788,0.0,No Event,None
2016-05-11,109.14581329010542,0.0,No Event,None
2016-05-12,118.45864509447868,0.0,No Event,None
2016-05-13,122.73422237383748,0.0,No Event,None
2016-05-14,116.67564810018864,0.0,No Event,None
2016-05-15,105.0899788163282,0.0,No Event,None
2016-05-16,126.62853634838515,0.0,No Event,None
2016-05-17,104.09378129134076,0.0,No Event,None
2016-05-18,111.78714895007906,0.0,No Event,None
2016-05-19,120.86193964084984,0.0,No Event,None
2016-05-20,124.82123815966102,0.0,No Event,None
2016-05-21,118.37079280024912,0.0,No Event,None
2016-05-22,106.32274140981144,0.0,No Event,None
2016-05-23,127.33582930590012,0.0,No Event,None
2016-05-24,104.22211283965568,0.0,No Event,None
